s_no,Date,Symbol,Open,High,Low,Close,PrevClose,Volume,Turnover,VWAP,Trades,Daily_Return_%,MA_20,MA_50
1106,2008-02-04,TCS,945.0,989.0,939.0,975.65,929.5,932630,903444463.85,968.71,,4.965034965034962,911.3700000000001,987.0920000000001
1107,2008-02-05,TCS,960.0,975.0,935.65,955.05,975.65,430718,412753388.1,958.29,,-2.1114129042177034,909.7299999999999,986.4909999999999
1108,2008-02-06,TCS,930.0,930.0,894.5,906.1,955.05,1001988,907695982.15,905.9,,-5.125386105439499,905.22,984.694
1109,2008-02-07,TCS,906.1,906.1,871.05,879.05,906.1,643663,570821892.6,886.83,,-2.9853217084207113,900.0899999999999,982.745
1110,2008-02-08,TCS,884.0,925.0,880.0,898.4,879.05,644205,586638055.1,910.64,,2.201239974972985,895.5224999999998,981.3919999999999
1055,2008-02-11,TCS,898.4,932.0,860.1,906.1,898.4,800247,733428382.4,916.5,,0.8570792520035669,892.7700000000001,979.27
1056,2008-02-12,TCS,905.0,925.0,860.0,864.65,906.1,1290332,1133342470.15,878.33,,-4.574550270389587,889.0024999999999,975.565
1057,2008-02-13,TCS,875.0,897.0,851.3,868.95,864.65,546344,475155860.7,869.7,,0.4973110507141697,885.2025,972.35
1058,2008-02-14,TCS,885.0,900.0,861.0,873.8,868.95,561620,494416976.35,880.34,,0.5581448875079014,882.7574999999999,969.1619999999999
1059,2008-02-15,TCS,860.0,887.05,860.0,872.7,873.8,553261,483215582.15,873.4,,-0.12588693064773507,881.2324999999998,965.905
1060,2008-02-18,TCS,872.7,875.0,850.0,853.2,872.7,430790,369100776.2,856.8,,-2.234444826400825,882.3399999999999,961.7170000000001
1061,2008-02-19,TCS,856.0,884.0,855.0,875.45,853.2,486822,424728987.65,872.45,,2.6078293483356774,886.2,958.5139999999999
1062,2008-02-20,TCS,879.9,894.65,873.25,886.1,875.45,765156,675687897.8,883.07,,1.2165172197155723,886.9074999999999,955.41
1063,2008-02-21,TCS,898.0,931.0,882.0,914.65,886.1,890513,815857455.2,916.17,,3.221983974720681,890.4775,952.635
1064,2008-02-22,TCS,920.0,920.9,885.0,900.55,914.65,600379,539060834.35,897.87,,-1.541573279396493,891.275,950.0540000000001
1065,2008-02-25,TCS,928.0,929.0,890.25,900.75,900.55,813865,732919238.65,900.54,,0.022208650269284935,893.5975000000001,947.2610000000001
1066,2008-02-26,TCS,924.0,924.0,895.0,898.4,900.75,1249896,1126596870.35,901.35,,-0.2608936996947014,895.1325,944.9809999999999
1067,2008-02-27,TCS,908.0,914.85,874.05,877.55,898.4,591014,526951649.65,891.61,,-2.3207925200356216,895.5175000000002,942.323
1068,2008-02-28,TCS,885.0,890.0,872.0,880.9,877.55,1394751,1226374814.9,879.28,,0.3817446299356188,895.8749999999998,939.451
1069,2008-02-29,TCS,880.0,891.7,863.5,877.4,880.9,854120,750683929.35,878.9,,-0.3973209217845385,893.2700000000001,936.0920000000001
1070,2008-03-03,TCS,866.0,868.7,840.0,848.6,877.4,785332,669562447.6,852.59,,-3.2824253476179575,886.9174999999999,930.87
1071,2008-03-04,TCS,858.0,870.0,847.1,858.8,848.6,752633,643924334.65,855.56,,1.2019797313221696,882.1050000000001,926.04
1072,2008-03-05,TCS,845.0,882.8,845.0,875.3,858.8,552337,482567456.25,873.68,,1.9212855146716348,880.5649999999999,921.331
1073,2008-03-07,TCS,862.6,866.1,842.25,846.15,875.3,499207,424819660.2,850.99,,-3.330286758825543,878.9199999999998,916.0390000000001
1074,2008-03-10,TCS,846.15,854.0,830.0,833.65,846.15,623542,523844727.6,840.11,,-1.4772794421792828,875.6825000000001,911.0690000000001
1075,2008-03-11,TCS,840.0,840.0,820.0,823.5,833.65,1010880,833659445.1,824.69,,-1.2175373358123887,871.5525,905.9910000000001
1076,2008-03-12,TCS,839.0,850.0,810.25,823.55,823.5,471103,389741805.6,827.3,,0.006071645415902188,869.4975000000001,901.3709999999999
1077,2008-03-13,TCS,815.0,815.0,761.0,779.7,823.55,852150,674137035.75,791.1,,-5.324509744399236,865.0350000000001,895.965
1078,2008-03-14,TCS,780.0,812.9,750.0,803.85,779.7,554014,435600663.6,786.26,,3.0973451327433597,861.5375,891.821
1079,2008-03-17,TCS,775.0,797.7,768.75,791.85,803.85,489726,382649457.7,781.35,,-1.4928158238477327,857.4949999999999,887.554
1080,2008-03-18,TCS,790.0,828.8,770.0,817.7,791.85,899020,731663962.15,813.85,,3.2645071667613843,855.72,884.396
1081,2008-03-19,TCS,828.0,840.0,805.55,811.45,817.7,1090481,898884358.05,824.3,,-0.7643389996331172,852.5199999999999,880.868
1029,2008-03-24,TCS,811.45,837.5,811.45,823.7,811.45,825496,681533249.7,825.6,,1.5096432312526957,849.4,877.4159999999999
1030,2008-03-25,TCS,840.0,899.85,835.0,876.5,823.7,732224,640700783.1,875.01,,6.410100764841562,847.4925,875.313
1031,2008-03-26,TCS,940.0,940.0,851.55,878.35,876.5,542942,476218350.25,877.11,,0.21106674272675674,846.3825,873.085
1032,2008-03-27,TCS,872.0,876.0,841.1,852.5,878.35,1537788,1320528039.8,858.72,,-2.943018159048218,843.97,870.9119999999999
1033,2008-03-28,TCS,853.0,874.7,852.0,871.05,852.5,908424,786267622.65,865.53,,2.1759530791788806,842.6025,869.533
1034,2008-03-31,TCS,871.05,871.05,797.0,810.45,871.05,1012965,831426137.35,820.78,,-6.957120716376776,839.2475000000001,866.8429999999998
1035,2008-04-01,TCS,820.0,852.9,810.0,832.35,810.45,521682,435007774.05,833.86,,2.702202480103643,836.82,865.0360000000001
1036,2008-04-02,TCS,850.0,869.0,849.25,851.25,832.35,357211,304985213.6,853.8,,2.270679401693996,835.5125,863.9970000000001
1037,2008-04-03,TCS,850.0,892.0,850.0,885.4,851.25,821793,721672496.3,878.17,,4.01174743024963,837.3525,865.084
1038,2008-04-04,TCS,886.0,889.9,860.05,872.9,885.4,505211,440404376.7,871.72,,-1.41179128077705,838.0575000000001,866.577
1039,2008-04-07,TCS,895.0,920.1,878.2,904.1,872.9,914882,830953759.0,908.26,,3.574292587925312,839.4975000000001,867.22
1040,2008-04-08,TCS,905.0,907.0,875.0,887.35,904.1,1013838,897995393.1,885.74,,-1.852671164694171,841.5575000000001,868.1020000000001
1041,2008-04-09,TCS,880.0,892.0,869.0,876.25,887.35,370650,325176965.3,877.32,,-1.2509156477151093,843.6875,867.935
1042,2008-04-10,TCS,880.0,919.65,877.0,899.55,876.25,731483,659561793.6,901.68,,2.65905848787446,847.49,868.84
1043,2008-04-11,TCS,903.05,925.0,893.25,908.0,899.55,547316,500092014.1,913.72,,0.9393585681729804,851.7125,869.646
